infer1,infer2,infer3,infer4,infer5,infer6,infer7,infer8,infer9,infer10,infer11,infer12,infer13,infer14,infer15,infer16,infer17,infer18,infer19,infer20,infer21,infer22,infer23,infer24,scan1,scan2,scan3,scan4,scan5,scan6,scan7,scan8,scan9,scan10,scan11,scan12,scan13,scan14,scan15,scan16,scan17,scan18,scan19,scan20,scan21,scan22,scan23,scan24,age,strategy,knowledge,precision,recall,fairness,prolific_id,condition,id,experiment
8,2,7,8,8,5,5,6,9,10,1,7,9,8,6,4,7,5,1,2,5,4,5,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,38,theis faces,5.0,6.0,5.0,6.0,58276980f1439700019be22e,unknown,exp2_check_17,2
10,2,8,10,6,5,7,7,8,7,1,5,10,9,3,9,10,3,2,1,2,7,6,9,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36,gut feeling on how it might work statistically,2.0,4.0,3.0,4.0,5c740767566c7700153eced1,unknown,exp2_check_18,2
20,2,12,4,14,10,9,10,12,9,5,10,20,16,5,13,10,7,3,0,6,8,9,16,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,23,I was trying to follow Alex's lead,5.0,6.0,6.0,6.0,606b45db446b01c659706420,unknown,exp2_check_19,2
15,0,10,0,12,7,7,6,8,9,0,0,8,7,2,8,15,4,0,0,1,5,5,8,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,32,in I thought about half of the scans,4.0,4.0,5.0,5.0,5fd8f4996c167333725c6c6f,unknown,exp2_check_22,2
15,1,7,15,11,8,4,10,11,12,1,11,15,12,3,12,14,4,2,1,3,7,7,13,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,21,I was taking around 60-70% of them,6.0,6.0,6.0,6.0,5bd2fb9b6546650001028953,unknown,exp2_check_25,2
16,1,14,0,15,10,10,15,17,18,1,15,19,17,7,16,20,10,4,1,5,10,10,18,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,28,Based on Alex's scan rate,3.0,4.0,4.0,3.0,5eb18108b17a8c2789e35487,unknown,exp2_check_27,2
15,3,14,1,15,5,6,7,17,18,2,13,20,15,7,15,20,9,4,1,5,11,10,18,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,22,I believe that scanned visitors might have stolen a gem.,6.0,6.0,6.0,4.0,5f3af9092fd4897d5e454112,unknown,exp2_check_28,2
15,1,12,12,14,12,10,9,12,13,4,8,13,13,6,14,15,5,6,2,4,8,7,15,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,24,"I assumed that if Alex scanned the majority, they probably come from a planet with high theft rate.",4.0,3.0,5.0,5.0,5f1593436bc35e1c675f9eb7,unknown,exp2_check_30,2
0,3,14,0,15,4,11,3,2,1,4,3,0,1,7,2,0,9,5,5,5,5,5,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,23,"I didn't understand at first, but then yes, the more scanned visitors, the more passing people will steal the stone, I assumed that if half of the visitors are scanned from all of them, then half of the unscanned will steal something, etc.",5.0,5.0,5.0,4.0,6029479174e6342e08999a2e,unknown,exp2_check_31,2
18,1,12,18,11,10,8,12,14,15,1,12,18,15,5,14,18,7,2,1,3,10,9,15,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,24,"With intuition, and trying to add the statistics in each round.",7.0,7.0,7.0,6.0,5f356c7215e48051fa83f9bf,unknown,exp2_check_32,2
12,1,8,10,8,8,6,7,10,11,1,9,10,9,3,10,14,6,1,4,2,8,7,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,32,So I thought 6 or 7 scanned should suffice as pass anything above that scan.,5.0,5.0,6.0,3.0,5ea71da1a39e3c0ae802db69,unknown,exp2_check_33,2
20,3,14,19,15,12,11,12,17,18,2,15,19,17,7,16,20,9,4,1,5,11,13,18,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,25,13,6.0,4.0,4.0,4.0,5dd5d194d3ac2a5851d9394a,unknown,exp2_check_34,2
9,2,3,1,2,5,4,5,3,5,1,8,1,1,1,4,0,2,1,2,4,4,5,3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31,Considering the number of visitors that were scanned vs the number of visitors who passed,4.0,5.0,4.0,4.0,60095f5f6fbeef3d7fea5c8a,unknown,exp2_check_35,2
15,2,4,15,10,4,6,3,5,11,4,4,12,10,2,4,10,4,2,0,1,7,2,10,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,19,I did the number of the scanned divided by 4 or 5,6.0,6.0,6.0,6.0,5db8a3eb6bd371000ec0c455,unknown,exp2_check_36,2
17,2,10,17,12,12,10,11,14,12,1,16,18,14,4,14,18,6,2,1,3,9,8,14,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,24,"Given that not everyone who is scanned has stolen a gem, I always detracted 10-20% from the number of people scanned",4.0,4.0,5.0,5.0,60acf8a3ddf55259dcb3819c,unknown,exp2_check_37,2
18,1,10,1,12,10,10,10,16,17,1,13,19,17,5,12,19,6,2,3,2,8,9,12,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,19,I just followed the instructions and also my instincts,6.0,6.0,5.0,5.0,5ea16521ccdbab0008c2e429,unknown,exp2_check_39,2
15,1,7,1,4,7,9,8,17,18,2,11,17,17,14,12,8,10,6,1,5,10,10,16,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,26,I checked how many guests were scanned by Alex.,6.0,6.0,7.0,5.0,609c15fd6888b88a23312c42,unknown,exp2_check_41,2
12,1,7,8,7,7,4,7,7,7,1,7,8,8,2,7,8,3,2,1,1,5,4,8,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,24,About half the amount scanned,5.0,4.0,4.0,4.0,5fb6822a6593ca03708b39bc,unknown,exp2_check_42,2
0,13,8,0,2,1,8,3,1,0,11,0,1,2,10,1,0,8,6,18,4,6,4,1,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,22,Guesstimate,5.0,5.0,4.0,4.0,5ef7b03a4af85f0d0079dd69,unknown,exp2_check_43,2
19,5,14,0,13,6,3,6,18,17,2,12,18,15,7,14,19,8,2,1,3,12,7,16,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,19,I tought about the theft rate and Alex knowledge and tried to conjugate the two with a bit of an error margin,7.0,6.0,5.0,6.0,6096d4f033065a81bb967461,unknown,exp2_check_44,2
17,1,10,0,8,10,9,9,15,16,1,10,5,8,4,12,18,5,2,1,2,9,3,7,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,20,based on the relation between how many were scanned and how many were not ,6.0,5.0,6.0,3.0,5f6cbceb1758e90a22144647,unknown,exp2_check_45,2
13,2,10,0,11,8,8,8,13,14,2,10,15,12,5,10,15,6,3,1,3,7,7,14,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,25,"I don't think I've been particularly consistent with the percentage of visitors who could have stolen a gem compared to the scanned ones. I tried to guess a rough estimate, taking into account that Alex could have still been wrong, but only somewhat marginally so.",6.0,6.0,6.0,3.0,5c8905f06f0eea0015ab1374,unknown,exp2_check_46,2
5,0,4,8,5,2,2,3,4,8,0,3,7,4,1,4,1,2,1,0,1,5,2,6,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,23,I was trying to make a ratio according to alex's decisions.,5.0,6.0,4.0,4.0,5ed5d721f6bf7e174cc50171,unknown,exp2_check_47,2
18,1,10,10,10,9,6,6,11,9,0,10,19,17,4,13,8,5,2,1,5,5,5,18,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,23,Intuition ,4.0,7.0,5.0,3.0,5d4dd46624dbed001549696b,unknown,exp2_check_48,2
14,4,11,0,13,9,10,9,14,14,3,11,16,15,7,12,14,9,3,3,5,9,9,16,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,19,based on the guards work experience and natural human error,5.0,6.0,6.0,6.0,5ff8b21dd2ca6f12bdaa5be8,unknown,exp2_check_49,2
19,7,15,1,15,10,10,13,3,18,2,13,19,15,6,14,20,9,4,1,5,10,10,18,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,21,I used my intuition,4.0,5.0,6.0,6.0,5f46e1427a43dc0bef8df7d6,unknown,exp2_check_50,2
20,2,15,20,18,12,10,7,15,2,1,14,20,17,5,16,20,10,2,1,3,7,10,19,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,25,more scanned by Alex = bigger chance for stole a gem,6.0,5.0,5.0,5.0,60252aa95d46472c34aef766,unknown,exp2_check_51,2
18,1,11,2,11,15,8,10,8,12,2,13,16,15,5,9,15,7,6,0,3,11,7,15,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,23,"Assuming Obos always played safe, I guessed a smaller number from the one he made pass throught the gem detector.",6.0,6.0,7.0,3.0,5f1ee6533dd362025d34153c,unknown,exp2_check_52,2
19,5,9,17,14,13,9,11,13,12,3,14,15,13,7,13,15,8,6,4,6,8,9,15,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,30,Based on the master scanner Alex's numbers,5.0,5.0,5.0,4.0,5e978ffd6e399b1011977b25,unknown,exp2_check_53,2
20,1,2,17,10,9,10,11,16,18,1,14,17,15,3,12,16,4,3,2,8,9,7,15,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,45,Because they know the risk of being catched was not high.,6.0,6.0,3.0,2.0,5ecffa3aa451d908aa0f682c,unknown,exp2_check_54,2
19,3,14,17,16,14,12,13,17,18,5,15,19,17,8,15,19,8,5,5,3,12,11,18,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28,I trust Alex judgment,5.0,5.0,5.0,5.0,5c87e5b4e545360014240b98,unknown,exp2_check_55,2
16,1,7,0,6,8,5,6,12,12,0,9,16,12,2,10,12,3,3,1,3,8,5,13,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,23,"While the randomness element can't be accounted for, I did make the decision using ""gut feeling"" based on the information available, so I was likely biased against the aliens from specific planets because Alex scanned more of them.",2.0,2.0,2.0,1.0,60acf60e082bae228fd4ad17,unknown,exp2_check_56,2
1,1,3,4,1,5,1,2,2,1,1,1,2,6,2,1,0,4,2,1,3,3,3,2,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,24,i went proportionally on what alex did,5.0,4.0,5.0,4.0,60a6267709f1962755bd2b28,unknown,exp2_check_57,2
16,8,5,0,3,10,5,9,9,1,1,11,11,14,4,14,7,7,4,1,3,9,9,15,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,34,30,5.0,6.0,5.0,2.0,609bd9cb63f97daf91c90b6d,unknown,exp2_check_58,2
5,5,2,3,4,2,5,2,1,0,8,1,0,2,6,1,0,2,10,4,4,7,3,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,28,I looked at the ratio between the scanned and passed visitors. ,7.0,7.0,5.0,7.0,60ad089ee11223816531f0ca,unknown,exp2_check_59,2
10,2,7,15,15,6,8,6,10,12,2,9,13,14,6,10,16,5,4,1,5,5,5,8,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,21,"First I base myself on the shape of the drawings, then on the fact that if he scanned more, it is likely that he would not have found all the gem thieves, which makes my job easier. And if he scanned little, it is because he knows the rate and does not have a high theft rate.",2.0,4.0,6.0,5.0,606dfabebad1c5d51d3377af,unknown,exp2_check_60,2
20,2,10,4,10,8,7,8,15,15,1,9,18,10,5,12,20,4,3,1,3,8,6,14,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,26,i trust alex. alex is always right. ,7.0,7.0,5.0,3.0,5e385705e3c7640728d8,unknown,exp2_check_61,2
16,6,12,14,13,7,12,8,13,14,4,11,13,11,4,12,14,5,2,4,7,9,6,11,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21,In my opinion Alex can't always be right soo when he select 15 aliens in my opinion 11 stol somethink.,6.0,7.0,5.0,5.0,60acef47138cfdd80b72aa40,unknown,exp2_check_62,2
15,1,10,10,9,11,4,11,11,10,1,11,16,15,4,14,15,5,3,1,2,8,7,15,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,22,I just guide myself on how many Alex choose.,5.0,6.0,4.0,4.0,5f458f24d4ab181b482fce1d,unknown,exp2_check_63,2
12,1,5,10,5,5,5,8,9,5,1,6,10,7,3,9,10,6,2,0,3,8,7,8,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,22,I think 1/3 or 1/4 was a gem thief,6.0,6.0,6.0,6.0,5e5199ba54a6e71c7583966d,unknown,exp2_check_64,2
20,1,14,19,7,13,11,12,17,18,2,15,19,17,4,16,20,9,4,1,5,11,10,18,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,18,the more visitors scanned the higher the chance of a gem being stolen ,4.0,6.0,6.0,7.0,60a7bb3d328a5073130d4a53,unknown,exp2_check_65,2
5,7,5,0,3,8,7,5,12,11,3,7,2,4,6,4,10,8,5,10,7,7,10,4,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,22,"Somehow knowing that Alex knows more than me, and by my instinct ",5.0,6.0,6.0,5.0,5f6cdd631e1f1c10a9dd336f,unknown,exp2_check_66,2
18,3,10,14,12,7,8,7,12,14,0,7,14,10,8,11,17,8,1,0,2,5,5,14,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,19,"the more visitors scanned, the more gems are stolen",7.0,6.0,5.0,5.0,5f7749eef95f5224907c54e7,unknown,exp2_check_67,2
2,3,10,0,11,11,10,10,14,15,1,10,18,13,6,12,20,4,20,0,4,7,9,16,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20,Work out percentage on left side then multiply by 20,1.0,2.0,1.0,3.0,5eed210337a90c13259c6cd3,4_counter,exp2_20to4_3,2
10,8,13,8,14,9,12,10,13,16,8,13,14,12,8,15,17,7,8,12,8,10,11,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27,7,4.0,5.0,3.0,6.0,5aa67bf51ade740001b96b9b,4_counter,exp2_20to4_4,2
2,10,9,1,11,8,8,7,13,14,2,10,17,12,5,11,20,4,10,3,3,6,6,14,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,33,30%,6.0,5.0,5.0,5.0,5e9820b9c63c530008087a8c,4_counter,exp2_20to4_5,2
2,3,10,0,14,5,4,4,9,15,0,9,15,9,3,11,20,6,5,0,2,5,5,16,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,20,5e7b4f6a3c00ce146965f437,6.0,7.0,2.0,5.0,5e7b4f6a3c00ce146965f437,4_counter,exp2_20to4_6,2
1,4,10,2,11,11,3,1,5,5,11,12,9,7,5,7,11,6,4,0,11,6,9,8,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18,i said the first number in my head when i saw they colors,7.0,4.0,7.0,5.0,5ee9e9d06580b8000940f89f,4_counter,exp2_20to4_7,2
12,2,8,13,11,7,7,7,10,12,2,7,14,14,4,11,15,4,2,3,4,5,5,12,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19,I checked the ratio of how many people he scanned and how many hits there were. If he checked many people stole the next group probably would have less thives.,6.0,5.0,4.0,2.0,5ebd1b6dec7a5d01186cb811,4_counter,exp2_20to4_8,2
4,9,10,10,12,10,11,9,18,13,8,11,18,14,6,14,19,8,12,3,3,8,8,15,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,49,I worked on percentages,1.0,2.0,2.0,2.0,5f4cb90c219f128ba829b599,4_counter,exp2_20to4_9,2
20,10,10,0,15,10,7,12,12,13,0,15,18,11,7,16,20,10,12,0,5,4,10,18,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,25,gut feeling based on number of thieves picked up in the scan,3.0,5.0,3.0,4.0,5f5ab17f73b8271b147a50a4,4_counter,exp2_20to4_10,2
2,3,8,1,10,6,5,5,14,15,0,10,18,10,2,10,20,5,4,0,1,4,5,14,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27,I JUST TOOK THE REFERENCE FROM THE EXAMPLE,7.0,6.0,7.0,6.0,5f3137848bf8dd5c8be7dea3,4_counter,exp2_20to4_11,2
